servers,runs,elapsed_time,cpu_time,cpu_memory 
3,1,0.1802229881286621,0.265625,99072.0
3,2,0.1464550495147705,0.234375,99229.696
3,3,0.6591362953186035,0.359375,98469.88799999999
3,4,1.0307466983795166,0.28125,98406.4
3,5,1.004945993423462,0.421875,99055.616
3,6,0.8166816234588623,0.359375,98253.48266666666
3,7,0.45458316802978516,0.328125,98914.30399999999
3,8,1.0168020725250244,0.46875,98876.07466666667
3,1,1.0196747779846191,0.453125,99112.95999999999
3,2,0.37967991828918457,0.234375,99591.50933333335
3,3,0.7453641891479492,0.25,99486.37866666667
3,4,0.3418881893157959,0.203125,99657.728
3,5,0.12585902214050293,0.21875,99829.76
3,6,0.8537800312042236,0.640625,99774.46399999999
3,7,1.0776965618133545,0.453125,99637.24799999999
3,8,0.6347696781158447,0.375,99651.584
5,1,0.5377647876739502,1.40625,181752.32
5,2,1.1315598487854004,0.96875,195758.72853333334
5,3,0.279801607131958,0.59375,181775.7013333333
5,4,0.3789398670196533,1.03125,181992.3017142857
