runs,elapsed_time,cpu_time,cpu_memory(kB)
1,6.9598424434661865,6.34375,102819.84
2,6.330833435058594,6.328125,102498.304
3,6.401377201080322,5.3125,102365.18400000001
4,7.0576560497283936,5.796875,102304.42666666667
